id	preposition index	preposition	hyp governor index	hyp governor	gold governor index	gold governor	sentence
5400154_1	11	on	10	are	10	are	A man in a yellow waterproof jacket and his companion are on a boat in the open water .
5444724_2	7	next to	3	putting	3	putting	A pilot is putting his luggage right next to the plane in the airport .
5570254_1	12	outside of	6	standing	2	crew	A news crew in rain jackets standing in front of line of police tape outside of a residence .
5624522_1	3	in	2	burns	2	burns	A fire burns in a barrel on the concrete floor while a man stands on a platform of scaffolding .
5648321_3	13	with	4	holding	10	blanket	A balding man is holding a snow shovel in a blanket of snow with a golden retriever looking on .
5648321_3	8	in	4	holding	4	holding	A balding man is holding a snow shovel in a blanket of snow with a golden retriever looking on .
5729814_2	14	with	13	shirt	13	shirt	A man standing in the door of a plane wearing a white short-sleeved shirt with stripes .
5729814_1	8	outside of	7	standing	7	standing	A man in a white shirt is standing outside of the door of a small airplane with mountains in the background .
5733760_1	10	in front of	7	stands	7	stands	A man in a striped polo shirt stands on stage in front of a chalkboard while holding a microphone .
5771732_3	8	into	5	empties	2	boy	A young boy with blond-hair empties a packet into his mouth .
5791070_2	18	next to	17	standing	17	standing	There is a woman sitting at the front desk of a Hollywood Wax Museum with a statue standing next to the desk she is sitting at .
5791070_1	22	behind	21	woman	21	woman	A dark-haired man wearing a red headscarf poses with a machine gun in front of the entrance to a wax museum , the woman behind the desk looks disinterestedly in the opposite direction .
5791070_2	9	of	8	desk	8	desk	There is a woman sitting at the front desk of a Hollywood Wax Museum with a statue standing next to the desk she is sitting at .
5791244_1	5	over	4	leans	1	man	A man in uniform leans over a dog , in front of car on an urban street with a group of people visible in the background .
5791568_2	11	with	7	standing	7	standing	A man wearing an orange vest is standing on the street with a bulldozer behind him .
5858851_1	10	in front of	7	rope	7	rope	A man on a horse tries to rope a calf in front of a crowd at the rodeo .
5867606_2	3	at	2	sits	2	sits	A man sits at a counter drafting on a paper with tools surrounding himself .
5871970_1	5	along	3	pushing	3	pushing	Three people are pushing rags along a wooden gymnasium floor with their hands like they are cleaning it .
5914327_3	3	on	2	men	2	men	Three construction men on a beam working with high rises in the background .
5919020_2	6	out of	5	pulled	5	pulled	A dead bull is being pulled out of an arena by horses .
5958182_4	12	over	13	turns	10	attached	A donkey suspended in air after a cart it is attached to over turns .
5958182_4	5	after	2	suspended	2	suspended	A donkey suspended in air after a cart it is attached to over turns .
6100315_3	11	of	10	wheel	10	wheel	A smiling man in a red shirt sits at the wheel of a blue truck .
6155176_1	3	through	2	looking	2	looking	little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on .
6155176_4	3	through	2	looking	2	looking	A child looking through a telescope on a playground .
6155176_2	4	through	3	looking	3	looking	A child is looking through a pretend telescope on playground equipment in front of a blue sky .
6261030_1	15	above	14	sun	3	standing	Two people are standing on a boat in the water near shore with the sun above the horizon in the background .
6261030_1	10	near	3	standing	3	standing	Two people are standing on a boat in the water near shore with the sun above the horizon in the background .
6261030_1	4	on	3	standing	3	standing	Two people are standing on a boat in the water near shore with the sun above the horizon in the background .
6338704_2	3	across	2	walking	2	walking	People are walking across the street at a crosswalk .
6339096_1	3	for	2	waiting	2	waiting	A man waiting for the results of the machine after doing an experiment in his laboratory .
6734417_1	19	at	18	looking	18	looking	A small blond boy wearing a green coat , blue pants and white shoes is standing close to and looking at a body of water .
6901412_1	24	before	19	holding	19	holding	A young bearded man in a casual black shirt sits at the cluttered dining table of a restaurant while holding a pair of tongs before his tongue .
6901412_4	2	with	1	man	1	man	A man with a beard holds a pair of tongs at a restaurant table .
6920532_2	7	near	2	stands	2	stands	A man stands in a workshop , near a table covered with metal parts and machinery .
7013217_3	8	outside	4	chats	4	chats	Man in spotted shirts chats with another man outside at night .
7015055_1	2	in	1	man	1	man	A man in a black shirt with a pattern on the left shoulder listens to another man holding a drink .
7015055_2	12	in	7	standing	11	men	A man in a pink shirt is standing next to two younger men in a dark room .
7015055_2	8	next to	7	standing	7	standing	A man in a pink shirt is standing next to two younger men in a dark room .
7188003_3	8	down	7	skiing	3	seen	A person is seen in the distance skiing down a very steep mountain .
7300628_1	18	in front of	14	stand	14	stand	A group of men in black and gray martial arts uniforms with red logos stand on a lawn in front of a building while two of the men put on a demonstration .
7510394_2	5	with	4	man	4	man	profile view of a man with a brown pipe in his mouth .
7520721_1	4	in	3	skater	3	skater	A woman figure skater in a blue costume holds her leg in the air by the blade of her skate .
7520731_1	18	in	17	man	17	man	Two men in construction hats are looking at a large piece of suspended machinery , while another man in a construction hat reaches for it .
7527111_4	3	through	2	looking	2	looking	Police officer looking through paperwork as women looks on .
7656601_2	2	on	1	men	1	men	3 men on a boat at sea , with multiple seagulls in the background .
8029536_3	5	next to	1	baby	1	baby	A baby on his knees next to a vending machine on the sidewalk .
8206921_3	4	behind	3	working	3	working	A redheaded woman working behind a desk with an apron on .
8378599_2	2	in	1	boy	1	boy	A boy in a blue jacket rides a skateboard down the street .
8378599_1	3	in	2	dressed	2	dressed	A boy dressed in a blue coat skateboards down a street lined with parked cars .
8378599_2	9	down	6	rides	1	boy	A boy in a blue jacket rides a skateboard down the street .
8378599_1	8	down	7	skateboards	7	skateboards	A boy dressed in a blue coat skateboards down a street lined with parked cars .
8443156_3	6	at the bottom of	2	playing	2	playing	A child playing with a sword at the bottom of the stairs .
8601145_1	2	without	1	man	1	man	A man without a shirt is standing next to two other men in front of a large boat .
8601145_4	5	by	2	standing	2	standing	Three men standing on deck by a large boat .
8601145_1	7	next to	6	standing	6	standing	A man without a shirt is standing next to two other men in front of a large boat .
8664922_1	17	into	15	pouring	15	pouring	A married man wearing a watch that appears to be about 7 o' clock is pouring cream into a coffee type beverage in a blue and white cup .
8664922_1	22	in	15	pouring	15	pouring	A married man wearing a watch that appears to be about 7 o' clock is pouring cream into a coffee type beverage in a blue and white cup .
8664922_2	19	along	18	ripples	16	making	A man with hairy arms and a watch pours creamer into a cup of coffee , making color ripples along the surface .
8664922_2	10	into	8	pours	8	pours	A man with hairy arms and a watch pours creamer into a cup of coffee , making color ripples along the surface .
8680922_1	3	in	2	man	2	man	An older man in a blue shirt planting seed in pots with potting soil .
8680922_2	6	around	3	working	3	working	An elderly man working with tools around some flower pots .
8684718_3	2	in	1	man	1	man	A man in a blue shirt and a young girl in a purple shirt in an arid , rocky area .
8684718_2	13	along	7	looking	12	growth	A man an little girl hiking and looking at the different plant growth along the way .
8876934_1	5	inside	2	group	2	group	a large group of people inside a building with a stage .
9035232_5	2	up	1	chops	1	chops	Man chops up an onion in the kitchen .
9035232_1	9	for	7	chops	8	onions	A white man with beard and earring chops onions for dinner in his home kitchen .
9268793_1	2	with	1	man	1	man	A man with a blue shirt , mustache and glasses is working with lumber on a deck .
9324151_2	2	in	1	person	1	person	A person in a black jacket in the middle of the road .
9324151_2	6	in the middle of	1	person	1	person	A person in a black jacket in the middle of the road .
9637989_4	3	in	2	sitting	2	sitting	A lady sitting in a chair outdoors in the rain .
9950858_4	5	atop	4	officers	1	troupe	a troupe of police officers atop horses in the city .
9950858_2	11	behind	6	ride	6	ride	A group of people on horses ride down a city street behind others who are walking .
9950913_1	15	at	14	speaking	14	speaking	A group of people are wearing signs that say on strike while someone is speaking at a booth with the Presidential seal .
9950913_5	4	at	0	Members	3	strike	Members of a strike at Yale University .
10082348_5	6	with	2	standing	5	urinal	A man standing at a urinal with a coffee cup .
10082348_3	4	next to	3	posing	3	posing	a man is posing next to a urinal with a cup of coffee .
10090841_2	7	with	3	sitting	3	sitting	A man is sitting at a table with a drink .
10090841_3	7	with	3	sitting	3	sitting	A man is sitting at a table with a beer .
10350842_2	14	with	6	is	6	is	A man wearing a life jacket is in a small boat on a lake with a ferry in view .
10350842_3	11	on	7	sitting	7	sitting	A man wearing a red life-vest is sitting in a canoe on a body of water .
10350842_3	8	in	7	sitting	7	sitting	A man wearing a red life-vest is sitting in a canoe on a body of water .
10751489_3	8	near	7	crouch	7	crouch	At night , two men in glasses crouch near some plants .
10815824_1	16	in	15	fire	12	staring	A blond horse and a blond girl in a black sweatshirt are staring at a fire in a barrel .
10815824_1	7	in	6	girl	6	girl	A blond horse and a blond girl in a black sweatshirt are staring at a fire in a barrel .
10863862_1	12	from	10	climbing	10	climbing	An older , male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding .
10863862_1	15	of	14	roof	14	roof	An older , male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding .
10863862_2	11	above	7	standing	10	wall	A man in a yellow vest is standing on the wall above the scaffold .
10919429_1	17	inside	14	taking	16	look	A man in a black shirt and black jeans and a little boy are taking a look inside a green truck ' s engine while it is parked in a grass field with a gas tank in front of it .
10919429_1	2	in	1	man	1	man	A man in a black shirt and black jeans and a little boy are taking a look inside a green truck ' s engine while it is parked in a grass field with a gas tank in front of it .
10919429_1	32	with	31	field	27	parked	A man in a black shirt and black jeans and a little boy are taking a look inside a green truck ' s engine while it is parked in a grass field with a gas tank in front of it .
10919429_3	7	under	6	look	2	man	A young man and a toddler look under the hood of an old-fashioned truck .
10951809_3	8	with	4	sitting	7	chair	An elderly women is sitting in a chair with a cane in her hand .
10956999_3	3	behind	2	stand	2	stand	Two men stand behind a grill near the ocean .
10956999_3	6	near	2	stand	5	grill	Two men stand behind a grill near the ocean .
10956999_2	6	near	4	grilling	5	food	There are two people grilling food near a body of water .
11131022_4	10	on	6	playing	9	boy	A person in a hat is playing with a boy on a beach .
11131022_4	7	with	6	playing	6	playing	A person in a hat is playing with a boy on a beach .
11131022_3	11	near	7	play	10	sand	An older person and a small boy play in the sand near the water .
11205420_4	5	with	4	performing	4	performing	A street performer is performing with a bike in the foreground .
11220707_2	10	near	4	laboring	4	laboring	A construction worker is laboring on part of a house near a chain-link fence and trees .
11337976_2	12	under	11	standing	11	standing	A man on a motorcycle without a shirt and another man standing under shade .
11337976_2	5	without	1	man	1	man	A man on a motorcycle without a shirt and another man standing under shade .
11338041_1	7	through	3	enter	3	enter	People waiting to enter a white building through an entry way with an orange handwritten sign to the left of it .
11391827_2	12	in front of	11	arm	6	looking	A man is inside a truck looking out with his left arm in front of a door .
11391827_2	3	inside	2	is	2	is	A man is inside a truck looking out with his left arm in front of a door .
11610969_1	11	by	10	passes	10	passes	A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes , adults and children within .
11610969_1	2	in	1	woman	1	woman	A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes , adults and children within .
11678931_1	2	with	1	boy	1	boy	A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .
11678931_1	15	around	7	holding	7	holding	A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .
11678931_1	8	onto	7	holding	7	holding	A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .
11808546_1	13	with	9	stands	12	park	A little boy with a pacifier in his mouth stands in a park with a goose .
11808546_4	7	near	3	is	6	park	The little boy is in the park near a duck .
12243003_3	2	with	1	man	1	man	A man with a guitar is sitting on a bench outside with three other people sitting by him .
12243003_3	7	on	6	sitting	6	sitting	A man with a guitar is sitting on a bench outside with three other people sitting by him .
12379850_1	13	in	12	rummaging	12	rummaging	Large skillet full of soup boiling over an open campfire and woman rummaging in a cardboard box in background .
12379850_1	6	over	5	boiling	5	boiling	Large skillet full of soup boiling over an open campfire and woman rummaging in a cardboard box in background .
12393804_1	12	on top of	11	sitting	11	sitting	A man with a large red feather in his hat is sitting on top of a horse .
12393804_5	3	with	0	Man	7	sits	Man in black with a feathered hat sits atop a horse .
12393804_5	8	atop	7	sits	7	sits	Man in black with a feathered hat sits atop a horse .
12424190_5	6	by	2	laying	2	laying	A man laying in a hammock by a lake .
12424190_3	6	next to	2	sleeps	5	hammock	A man sleeps in a hammock next to water and a boat .
12424190_4	6	near	2	napping	5	hammock	A man napping in a hammock near a lake .
12424190_1	8	next to	3	sleeping	3	sleeping	A man is sleeping on a hammock right next to a body of water .
12424190_2	7	near	3	sleeping	6	hammock	A man is sleeping on a hammock near a body of water .
12526324_1	6	from	3	taking	3	taking	A child is taking a drink from a large cup with a straw being held by a woman .
12526324_2	7	from	6	drink	6	drink	A toddler using a straw to drink from a paper cup in front of a McDonald ' s .
12637806_3	12	with	11	object	11	object	A person is standing with one leg propped up with an object with a blue line in his left hand .
12637806_1	18	of	17	edge	17	edge	A man in jeans and a blue long-sleeved shirt is on his phone while leaning on the edge of a building .
12637806_2	6	outside of	5	stands	5	stands	A man on a cellphone stands outside of a building with pictures of women in black shirts behind him .
12770842_2	21	like	10	standing	10	standing	In a crowd at a stadium , one man is standing up by himself with his arms up over his head like he ' s doing the Wave .
12770842_3	11	over	10	hands	7	standing	A man in a white shirt , standing with his hands over his head in a seated crowd .
12770842_2	18	over	16	arms	10	standing	In a crowd at a stadium , one man is standing up by himself with his arms up over his head like he ' s doing the Wave .
12770842_4	5	amongst	4	cheering	2	standing	A man standing and cheering amongst a stadium of others sitting .
12830823_1	7	into	6	looking	6	looking	There are several people and children looking into water with a blue tiled floor and goldfish .
12830823_1	9	with	8	water	6	looking	There are several people and children looking into water with a blue tiled floor and goldfish .
12904363_2	6	next to	3	swimming	3	swimming	Two people are swimming in water next to a red buoy .
12974441_1	19	in	18	be	18	be	Young man with glasses and two small pigtails on front of his hair with bloody face appears to be in Emergency room waiting area .
13051044_1	12	like	11	looks	11	looks	Puppeteer wearing a purple sleeveless shirt showing off a puppet that looks like a black man with shades playing a saxophone .
13237748_3	10	against	9	sleeping	9	sleeping	A man with a blue baseball cap on is sleeping against a rock .
13237748_3	2	with	1	man	1	man	A man with a blue baseball cap on is sleeping against a rock .
13237748_2	3	against	2	leans	2	leans	A man leans against a large rock during the middle of the day .
13237748_2	7	during	2	leans	2	leans	A man leans against a large rock during the middle of the day .
13255060_1	12	in	11	man	11	man	Two people have their heads down on a table while a man in a brown jacket looks out the window at a group of bikes and motorcycles .
13327175_2	10	down	3	walking	9	leash	A man is walking a pig on a rope leash down a dirt road .
13341510_1	19	for	11	performing	18	station	A young male wearing a red shirt and black pants is performing a dance technique in a terminal station for travelers .
13341510_4	7	around	3	breakdancing	2	is	A man is breakdancing on the floor around a crowd of people .
13478218_2	11	up	10	blows	2	boy	A young boy in a blue shirt and green hat blows up an orange balloon .
13478218_2	3	in	2	boy	2	boy	A young boy in a blue shirt and green hat blows up an orange balloon .
13615892_1	15	inside	10	sleeping	10	sleeping	A baby swaddled in a blanket with balloon designs is sleeping on a white mattress inside a colorless plastic bassinet that has two notes taped to it .
13615892_1	3	in	2	swaddled	2	swaddled	A baby swaddled in a blanket with balloon designs is sleeping on a white mattress inside a colorless plastic bassinet that has two notes taped to it .
13615892_3	4	in	3	swaddled	3	swaddled	An infant is swaddled in a blanket in a bassinet .
13615892_3	7	in	3	swaddled	3	swaddled	An infant is swaddled in a blanket in a bassinet .
13648274_1	16	next to	15	standing	15	standing	A man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket .
13648274_1	7	up	6	button	6	button	A man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket .
13648274_3	7	next to	6	standing	6	standing	A man holding a video camera standing next to a woman by water .
13651137_2	9	with	2	working	8	road	A man working at the side of the road with a grill .
13691837_1	13	over	12	forearm	12	forearm	A woman with ripped jeans is laying on the ground with her forearm over her face .
14072289_1	12	in	9	plays	9	plays	A man is showing a peace sign as he plays a game in a crowded room at a casino .
14072289_1	16	at	9	plays	15	room	A man is showing a peace sign as he plays a game in a crowded room at a casino .
14107151_1	24	in	23	sitting	23	sitting	A woman in a white long-sleeve shirt is leaning against a sleeping man in a green plaid shirt to attempt to sleep while sitting in a bus .
14107151_1	9	against	8	leaning	8	leaning	A woman in a white long-sleeve shirt is leaning against a sleeping man in a green plaid shirt to attempt to sleep while sitting in a bus .
14133592_1	14	with	2	man	9	sits	A young man wearing blue jeans and a t-shirt sits in the grass , with a ball in the air .
14133592_4	8	at	3	laying	3	laying	A man is laying down in the grass at a beautiful park .
14252494_3	3	under	2	sleeping	2	sleeping	A person sleeping under a small pink cover with white and yellow circles on it .
14252494_2	9	under	8	sleeps	8	sleeps	A kid in blue jeans and black socks sleeps under a pink blanket with a swirl design .
14264287_1	20	in	17	has	17	has	A young boy with flour on his nose and cheeks is dressed in overalls and an apron has his hands in a bowl while he smiles for the camera .
14264287_1	26	for	25	smiles	25	smiles	A young boy with flour on his nose and cheeks is dressed in overalls and an apron has his hands in a bowl while he smiles for the camera .
14264287_4	8	in	7	hands	3	standing	A little boy standing up with his hands in a bowl .
14526359_2	15	at	10	playing	10	playing	A man with a tattoo on his right arm is playing a guitar on stage at a bar .
14559446_2	10	near	9	walking	9	walking	Two men wearing hats and using walking sticks are walking near a body of water during sundown .
14559446_2	15	during	9	walking	9	walking	Two men wearing hats and using walking sticks are walking near a body of water during sundown .
14559446_1	10	against	8	standing	9	silhouetted	Two men wearing hats and holding canes are standing silhouetted against a large body of water with sunlight reflecting off the water and a tree to the side .
14698542_3	3	near	2	play	2	play	Young children play near a stack of two tires .
14698542_2	7	with	6	structure	6	structure	3 children are on a wooden structure with 2 tires on it .
14748953_2	11	next to	6	sitting	6	sitting	A woman eating some food while sitting on a tiny stool next to a propane barbecue .
14813436_3	3	next to	2	are	2	are	Three children are next to a body of water .
14887980_2	11	of	10	edge	10	edge	Two women are at work along a balcony on the edge of a bamboo forest .
14887980_2	5	along	2	are	4	work	Two women are at work along a balcony on the edge of a bamboo forest .
14919212_1	14	of	13	bank	13	bank	A man wearing a white suit is operating a crane while on the bank of a body of water .
14919212_4	8	near	2	operates	7	equipment	A man operates a piece of earth-moving equipment near a waterway .
15019062_1	2	with	1	woman	1	woman	A woman with a chain around her neck leans before a small girl playing a game of Jenga while others watch on .
15019062_1	5	around	4	chain	1	woman	A woman with a chain around her neck leans before a small girl playing a game of Jenga while others watch on .
15308702_1	11	in	10	dressed	10	dressed	A person dressed in a black shirt and a person dressed in a blue shirt are standing on a mound of sand .
15308702_1	3	in	2	dressed	2	dressed	A person dressed in a black shirt and a person dressed in a blue shirt are standing on a mound of sand .
15558523_2	16	outside	15	standing	15	standing	A man wearing a blue shirt , a blue hat , and an apron is standing outside the Candy Cafe on a sunny day .
15688495_3	9	for	4	standing	4	standing	A smiling woman is standing behind a celebration table for a bridal or baby shower .
15688495_3	5	behind	4	standing	4	standing	A smiling woman is standing behind a celebration table for a bridal or baby shower .
15688683_2	4	in	2	opening	2	opening	A lady opening presents in a classroom with a group of ladies .
15688683_2	7	with	2	opening	2	opening	A lady opening presents in a classroom with a group of ladies .
15874606_2	5	at	1	swimmer	1	swimmer	A swimmer in the pool at a depth of 3 .5 feet .
16151663_1	21	with	17	talking	20	cellphone	A girl is playing the violin in the street while her band mate on the guitar is talking on her cellphone with a confused look .
16396205_1	17	up	16	thumbs	16	thumbs	Three young men standing in a field behind a barbecue smiling each giving the two handed thumbs up sign .
16396205_1	7	behind	3	standing	3	standing	Three young men standing in a field behind a barbecue smiling each giving the two handed thumbs up sign .
16626851_3	5	outside	1	sitting	4	grass	People sitting in the grass outside a building , taking a break .
16626851_4	7	in front of	2	sit	2	sit	Two people sit on a grassy lawn in front of a building .
